"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000175213",399.556793011453,-0.117799774434319,0.119164447998649,-0.988547980649854,0.322884348163788,0.566367361449064
"ENSG00000175215",9827.4548552545,0.181293207477913,0.0913612342783365,1.984355935096,0.0472161746629729,0.173966385360906
"ENSG00000175216",10429.6712296304,-0.345499195380294,0.14128327260044,-2.44543596011817,0.0144677139658289,0.0796601697621162
"ENSG00000175220",3716.6401226775,0.158711234913953,0.120503036709846,1.31707249250578,0.18781432642798,0.413916873962011
"ENSG00000175221",2896.6098627631,-0.297335676029258,0.14322572955557,-2.07599344721016,0.0378945570505497,0.151611989421411
"ENSG00000175224",3702.33320467342,-0.0917937821473118,0.0790525576219531,-1.16117409617903,0.245571106809664,0.482802410567377
"ENSG00000175229",36.2735492621572,-1.68491670840258,0.468233897476356,-3.59845093976278,0.000320118221215597,0.00516134629993907
"ENSG00000175262",452.703778949822,0.298796452818351,0.32698292065497,0.913798348304677,0.360822814501966,0.601422230859686
"ENSG00000175264",863.94949302437,0.00639559045671687,0.317850560861766,0.0201213754016257,0.983946548491711,0.992612989435106
"ENSG00000175265",10431.0715002827,0.177654031853822,0.163285440390533,1.08799677074039,0.276596533131926,0.517640770316253
"ENSG00000175267",57.8180231659147,0.867621740983666,0.347197586142253,2.49892791774245,0.0124569646151284,0.0717319440697127
"ENSG00000175274",4631.79640769192,-0.0913499045751654,0.16385624199225,-0.55750030309792,0.577185652051045,0.773139681748371
"ENSG00000175279",348.084550509537,-0.145164888494724,0.135389280139522,-1.07220371025777,0.283628544293693,0.525899306546013
"ENSG00000175283",331.967521391576,0.142361041167643,0.115983445813866,1.22742551894956,0.219662699883067,0.45398402175044
"ENSG00000175287",379.664781446504,-0.0406909940292688,0.325786037088563,-0.124900976091272,0.900601945614799,0.954524580823452
"ENSG00000175305",2800.72111285308,-0.303071655258822,0.221805795485143,-1.36638294141923,0.171818800154983,0.392723331845553
"ENSG00000175309",2867.34366040317,0.349212432274291,0.124578085218684,2.80316101874004,0.00506043976635918,0.0386010492733562
"ENSG00000175311",84.616037199905,-0.288589826266112,0.609851443431557,-0.473213320021436,0.636060995656239,0.811246335142711
"ENSG00000175318",688.394534056781,0.0377529031694661,0.2929346887858,0.128878226494616,0.897454005709655,0.953090090185236
"ENSG00000175322",2294.62602273097,-0.21292706469432,0.19280451376032,-1.10436763404312,0.269433694817023,0.509553594954388
"ENSG00000175324",467.865593535545,0.118463999538477,0.173408357175447,0.683150463265276,0.494511770800803,0.714646597268706
"ENSG00000175325",42.1106827027971,-0.251307925631921,0.456268657545431,-0.550789368228515,0.58177807317825,0.776551821728062
"ENSG00000175329",118.420263917075,-0.494809029934703,0.464399664870678,-1.06548102284375,0.286658308814749,0.529193324970146
"ENSG00000175334",2453.42363314534,-0.432152524001146,0.123300589836198,-3.50486988403908,0.000456830491577547,0.00670736408348444
"ENSG00000175336",27.9281369756822,0.0192353158423136,0.296668304835671,0.0648377852597644,0.948303156443961,0.976797618546954
"ENSG00000175344",440.94408979022,0.283616394504843,0.408619915722108,0.694083630269563,0.487629763807399,0.709363766268017
"ENSG00000175348",783.448174691061,0.350808583026302,0.103698702280976,3.38296020403198,0.000717090225352282,0.00939360125329357
"ENSG00000175352",627.051444305506,-0.125363339694176,0.224207854950183,-0.559138928125559,0.57606690912649,0.772585348641678
"ENSG00000175354",2186.23875859026,0.151841484756914,0.127213343098649,1.19359715780103,0.232635586315228,0.468235347408067
"ENSG00000175356",564.886387117906,0.812292158244769,0.237155228655565,3.42514969140534,0.000614460769309784,0.00836534182903987
"ENSG00000175376",1213.24997058347,-0.219283371198595,0.101753787949948,-2.15503889945069,0.0311587903345361,0.133698686072365
"ENSG00000175387",14854.9315399142,-0.120355957428708,0.135097419958541,-0.890882723486822,0.372992089656658,0.612495760244322
"ENSG00000175390",3685.56505229093,-0.153895532841047,0.105201662927785,-1.46286216926711,0.1435050974728,0.352015820449277
"ENSG00000175395",625.996151629003,-0.152453681311813,0.162559886534278,-0.93783087920442,0.348331329327256,0.589681476514744
"ENSG00000175414",1512.10452507534,-0.506629583328438,0.226456897865025,-2.23720093362051,0.0252732103765367,0.116081731178614
"ENSG00000175416",797.210503936597,-0.14389755884671,0.190873620385802,-0.753889188856259,0.450915762842165,0.680496994519605
"ENSG00000175426",5309.06640025753,-0.167864615095656,0.366638323632296,-0.457847977899899,0.64706166379801,0.817490370299955
"ENSG00000175445",953.814416698355,0.409860930687194,0.27849545216818,1.47169703309799,0.141102709152281,0.348324459101771
"ENSG00000175449",70.4368879311569,0.217344689857126,0.223208952345149,0.973727476311274,0.330191870937032,0.572445481077962
"ENSG00000175455",12849.3517172244,0.0741964488047017,0.207617134896331,0.357371509060415,0.720813702869925,0.862224715856042
"ENSG00000175463",594.177803106164,0.63173147538715,0.240755011893408,2.62395981050996,0.00869140401375234,0.0562748270179824
"ENSG00000175467",2821.9919432023,-0.279941927620895,0.18185706902708,-1.53935136598517,0.123718540237826,0.320511975636727
"ENSG00000175470",2461.38344672453,-0.403663912444794,0.198731412340116,-2.03120335980882,0.0422343697139918,0.162174690217351
"ENSG00000175471",1015.68388488926,-0.332965422967609,0.229032098683713,-1.45379370350802,0.146003509690848,0.355759981150222
"ENSG00000175482",835.627746130674,0.0452646945150578,0.199334464299313,0.227079118877757,0.820362220670824,0.915410008342115
"ENSG00000175485",13.6236058028234,-0.260984820847065,0.322862279775796,-0.808347203111802,0.418890736294854,0.653717435110397
"ENSG00000175489",234.261921361323,1.08975406382724,0.254637155981523,4.27963491669813,1.87200131769355e-05,0.000587875738478489
"ENSG00000175497",1311.00891646059,-0.380293488048774,0.391170962309316,-0.972192531377263,0.330954775424615,0.573167504020317
"ENSG00000175505",152.721458936125,0.301668786868785,0.186898386933118,1.6140791358287,0.106510262315323,0.292083232651327
"ENSG00000175514",26.3737963337564,0.0397484610170395,0.467280872193046,0.0850633171233646,0.932211053264432,0.968312938550951
"ENSG00000175518",84.1413872433866,0.966804044696557,0.45522539359219,2.12379199030944,0.033687541068269,0.140681009699886
"ENSG00000175520",76.9484398459882,1.32268192021368,0.478241812541386,2.76571785554451,0.00567976527845809,0.0421590133478938
"ENSG00000175536",132.938243740943,-0.331739918563357,0.15465498035473,-2.14503223758103,0.031950269555246,0.135949261028684
"ENSG00000175538",306.889617937482,0.748786672217876,0.207472724778296,3.60908487136334,0.000307279074647773,0.00499964684862979
"ENSG00000175544",196.606989676163,-0.432810895992229,0.291959958895392,-1.48243237747305,0.138225284257052,0.343465640752693
"ENSG00000175548",1240.78560164445,-0.473228068117455,0.274974866457623,-1.7209866276647,0.0852532504826396,0.254553184738011
"ENSG00000175550",710.240204248365,0.0117232825122138,0.140000555189196,0.0837374001579566,0.933265220530305,0.968991683424829
"ENSG00000175556",357.517683126743,0.236953801194482,0.292972293991108,0.808792524257168,0.418634497006219,0.653623789052009
"ENSG00000175564",275.861677984165,-0.58729206995731,0.165099643840173,-3.55719767951677,0.000374832091927433,0.00582408704152695
"ENSG00000175567",4756.40908804637,-0.0225789855656427,0.158968450489606,-0.142034381640519,0.887052848358311,0.947646772749142
"ENSG00000175573",776.145498317789,-0.199169318409309,0.138185916450735,-1.44131416228886,0.149495948048894,0.361187082231726
"ENSG00000175575",952.276247652702,-0.00671379888187907,0.0814151131079411,-0.082463791126567,0.934277910729131,0.969434762296427
"ENSG00000175581",551.693775793512,-0.236518122430124,0.103662454869506,-2.28161799494198,0.022511903367983,0.107555781975066
"ENSG00000175582",5117.89345707166,-0.0489492514493492,0.114264138936959,-0.428386822888983,0.668369516683825,0.831875283087025
"ENSG00000175591",179.490328617711,0.908829220491932,0.273385328412809,3.32435257505703,0.000886240760601386,0.0109208068637807
"ENSG00000175592",38.3448527094038,0.202847910498696,0.281826129391404,0.719762610148111,0.47167116957911,0.697624995212136
"ENSG00000175595",839.297319205905,0.0212514039409185,0.13089998384479,0.162348407667618,0.871031496463458,0.94069198550151
"ENSG00000175600",78.074819347604,0.371995082862133,0.300752452110054,1.23688129640256,0.216131154738255,0.449641485717871
"ENSG00000175602",657.856042539179,-0.93326839378703,0.311342209173907,-2.99756462916897,0.0027214614791923,0.02478966722643
"ENSG00000175604",85.1128523181982,0.151747036277492,0.177342050459786,0.855674307836554,0.392177955180436,0.629952112423976
"ENSG00000175606",635.333527405178,-0.045441260540464,0.118979843710776,-0.381924022785957,0.702517720968387,0.851927905936767
"ENSG00000175611",468.842033966026,-0.186813129474107,0.151393020727379,-1.23396130532669,0.217217323382777,0.451065303245977
"ENSG00000175634",1875.56361345152,-0.246781534351507,0.110184569959105,-2.23971046438806,0.0251097257741279,0.11566217025965
"ENSG00000175643",713.621456386278,-0.192863683622102,0.146679312061112,-1.31486629513062,0.188554842057955,0.415119515238379
"ENSG00000175662",2081.57307527864,0.107596345735336,0.144251098095421,0.745896198753104,0.45573012167803,0.683842220263197
"ENSG00000175691",320.65028394747,-0.219022427488191,0.125700660930321,-1.74241269590143,0.0814362559463181,0.247257129077633
"ENSG00000175697",227.018636709901,-0.0378622714125979,0.315996564747958,-0.119818617151098,0.904626833836185,0.956217240715575
"ENSG00000175701",110.866309027755,0.135913408370486,0.179591803972939,0.756790707392003,0.449175260957583,0.679131563089877
"ENSG00000175707",522.587538087381,-0.0339151972514545,0.159346038580992,-0.21283991465038,0.831451829573798,0.921437878877286
"ENSG00000175711",705.18313210925,0.0146558161090134,0.148018125221799,0.0990136585438594,0.921127425445929,0.963596467869082
"ENSG00000175718",34.4724468149242,-0.322848056690348,0.367237178473849,-0.879126830328096,0.379332511682524,0.618417047232659
"ENSG00000175727",10300.1516529594,0.0411162406116712,0.130240544850996,0.315694629953453,0.752234303093748,0.880196736190283
"ENSG00000175730",48.0207070589465,-0.0612968732302461,0.156801600350273,-0.390919946565069,0.695856409614802,0.84807566659121
"ENSG00000175741",76.0763450744125,-0.167356371141555,0.138486536432055,-1.20846672502105,0.226867787514888,0.461876389297646
"ENSG00000175745",4141.85967656731,-1.14471428965907,0.390627144495751,-2.93045249360933,0.00338468742281476,0.0290151638217045
"ENSG00000175746",281.683858469296,-0.507478510061002,0.318317792825232,-1.59425115874571,0.11087979223879,0.299060073165984
"ENSG00000175749",42.9036142104724,-0.551621265959871,0.296316143423568,-1.86159707529454,0.0626599058629932,0.209276895537951
"ENSG00000175756",1636.6093099971,-0.356486226387905,0.173321270067211,-2.05679445026952,0.0397060021546639,0.155751214332327
"ENSG00000175764",345.180371437473,-0.239001358385846,0.163298892294612,-1.46358223884739,0.143308128363788,0.351834662223966
"ENSG00000175768",848.03735733609,-0.280262121098817,0.136647804210948,-2.05098151936761,0.0402687465005263,0.157228672990193
"ENSG00000175772",411.013263197623,0.12285439662176,0.312725286391759,0.392850856543329,0.694429640090196,0.847226341104138
"ENSG00000175773",29.4313631599891,-0.13599679063523,0.236913085825758,-0.574036635254716,0.565943010510105,0.76455449462311
"ENSG00000175779",240.802829239481,0.423535421232681,0.329633197684346,1.28486883059107,0.198838124627752,0.428475277020434
"ENSG00000175782",2204.35238453966,-0.263021233161857,0.112522302751578,-2.33750311476068,0.0194130391703761,0.0975461774809417
"ENSG00000175785",284.243969848587,-0.170737647912905,0.42763751165413,-0.399257883744765,0.689703196379999,0.844387844626331
"ENSG00000175787",424.272189111012,0.217652361460702,0.132466557514383,1.64307403728726,0.100367615818857,0.281550598185415
"ENSG00000175792",1951.59587324625,-0.194891521247334,0.127778045650516,-1.52523479487532,0.127200544830948,0.326012974053067
"ENSG00000175793",1000.88774140539,0.0955051046969131,0.231356382414656,0.412805143735957,0.679749382540432,0.83900732902683
"ENSG00000175806",370.631407154177,0.049566356641121,0.193660720844177,0.255944294873316,0.797993851070408,0.903828686042997
"ENSG00000175820",104.514539646493,-0.169451049690558,0.252204484478508,-0.671879606109852,0.501660344501635,0.71999939076507
"ENSG00000175826",2004.03503694971,-0.0464262737681427,0.103712103388025,-0.447645667684949,0.654408939141394,0.822491903638788
"ENSG00000175832",408.072153805015,-0.3616125836861,0.299470351330242,-1.2075071274329,0.227236901860442,0.462376300909914
