"","geneid","wilcox","wilcox_BH","FC","log2FC"
"15196","ENSG00000198089",0.55221422203415,0.990336329831089,1.18113378311667,0.240172383285332
"15197","ENSG00000198093",0.202730170646522,0.969409484347219,0.779730073847721,-0.358953315166609
"15198","ENSG00000198099",0.145270893104942,0.96428928564165,0.373737373737374,-1.41990325445066
"15199","ENSG00000198105",0.55221422203415,0.990336329831089,0.861436516388593,-0.215183614010028
"15200","ENSG00000198106",0.932324373348333,1,0.618846694796062,-0.692346036094756
"15201","ENSG00000198108",0.55221422203415,0.990336329831089,0.684210526315789,-0.547487795302493
"15202","ENSG00000198113",0.932324373348333,1,1.172918899607,0.230103263000066
"15203","ENSG00000198121",0.671125458389813,1,0.973934629706247,-0.0381031527271384
"15204","ENSG00000198125",0.443898465801459,0.990336329831089,0.752046783625731,-0.411105682445313
"15205","ENSG00000198130",0.932324373348333,1,0.889711465451784,-0.16859055077749
"15206","ENSG00000198131",0.671125458389813,1,0.907612519871778,-0.139851584783736
"15207","ENSG00000198133",0.671125458389813,1,1.68413151178502,0.752004801107351
"15208","ENSG00000198134",0.551517708021788,0.990336329831089,0.862385321100917,-0.213595473099289
"15209","ENSG00000198142",1,1,1.0862859524802,0.1194039262747
"15210","ENSG00000198146",0.350237584818994,0.975322513573003,0.671413544785177,-0.574726453298283
"15211","ENSG00000198155",0.269606104568209,0.975322513573003,0.678134902670892,-0.560355794896524
"15212","ENSG00000198156",0.443898465801459,0.990336329831089,2.03550295857988,1.02538531841991
"15213","ENSG00000198157",0.394938073936705,0.990336329831089,2.23234624145786,1.15856080946721
"15214","ENSG00000198160",1,1,0.959406713505074,-0.059785559968985
"15215","ENSG00000198162",0.269606104568209,0.975322513573003,0.923748234186156,-0.114428393445419
"15216","ENSG00000198168",0.79890666964327,1,1.38158542589857,0.466324769323746
"15217","ENSG00000198169",0.79890666964327,1,0.987976499521793,-0.0174513692986582
"15218","ENSG00000198171",0.269606104568209,0.975322513573003,1.43443115772597,0.52047873088762
"15219","ENSG00000198176",0.932324373348333,1,1.06190807902654,0.0866588888614065
"15220","ENSG00000198182",0.0745315710546194,0.947097530301638,1.73085264239242,0.791482904866863
"15221","ENSG00000198183",0.10049374059349,0.947097530301638,0.035377358490566,-4.82102985895468
"15222","ENSG00000198185",0.55221422203415,0.990336329831089,0.795182174043963,-0.330642679167535
"15223","ENSG00000198189",0.671125458389813,1,0.727864897466827,-0.458257405236411
"15224","ENSG00000198198",1,1,1.00788064619468,0.0113248041769882
"15225","ENSG00000198203",0.671125458389813,1,1.22284725227174,0.290244205866308
"15226","ENSG00000198205",0.0218560090983137,0.947097530301638,1.98492723492723,0.989086120852472
"15227","ENSG00000198208",0.0745315710546194,0.947097530301638,1.86901797132665,0.902280441217465
"15228","ENSG00000198216",0.55221422203415,0.990336329831089,0.846401228292217,-0.240586373803802
"15229","ENSG00000198217",0.48921112904166,0.990336329831089,2.34782608695652,1.23132554610646
"15230","ENSG00000198218",0.932324373348333,1,1.14296740994854,0.192784267790421
"15231","ENSG00000198221",0.148836546876709,0.96428928564165,0.422705314009662,-1.242275845667
"15232","ENSG00000198223",0.671125458389813,1,0.443804034582133,-1.17200531188336
"15233","ENSG00000198225",0.671125458389813,1,1.23827046918123,0.308326469583008
"15234","ENSG00000198231",1,1,1.05709586000515,0.0801062097227929
"15235","ENSG00000198237",0.671125458389813,1,0.971165900543251,-0.0422103281339701
"15236","ENSG00000198242",0.671125458389813,1,0.754667540124468,-0.406086872764468
"15237","ENSG00000198246",0.79890666964327,1,0.915254237288136,-0.127755547198373
"15238","ENSG00000198252",0.932324373348333,1,1.00988700564972,0.0141938815827544
"15239","ENSG00000198258",0.0337522229559557,0.947097530301638,1.87458209090088,0.906569004896419
"15240","ENSG00000198265",1,1,0.993937729297051,-0.0087726258447352
"15241","ENSG00000198270",0.932324373348333,1,1.01433349259436,0.0205320596496685
"15242","ENSG00000198276",0.148836546876709,0.96428928564165,1.47939998642503,0.565012167660061
"15243","ENSG00000198286",0.932324373348333,1,0.695784662265109,-0.523287218053665
"15244","ENSG00000198298",0.671125458389813,1,0.705787781350482,-0.502693640595244
"15245","ENSG00000198300",0.148836546876709,0.96428928564165,0.0199826238053866,-5.64511016207522
"15246","ENSG00000198301",0.55221422203415,0.990336329831089,1.08038827631703,0.111549889840071
"15247","ENSG00000198315",1,1,1.0647153497773,0.0904677794135961
"15248","ENSG00000198324",0.269606104568209,0.975322513573003,1.49744542498839,0.582503424360734
"15249","ENSG00000198331",0.202730170646522,0.969409484347219,0.775182690929933,-0.367391737741622
"15250","ENSG00000198342",0.671125458389813,1,1.46507666098807,0.550976156479408
"15251","ENSG00000198346",0.55221422203415,0.990336329831089,1.15368746776689,0.206252452952326
"15252","ENSG00000198353",0.551517708021788,0.990336329831089,0.87536231884058,-0.192047812340453
"15253","ENSG00000198354",0.54437014585661,0.990336329831089,1.98888888888889,0.991962680934582
"15254","ENSG00000198355",0.202730170646522,0.969409484347219,2.36008048289738,1.23883605886555
"15255","ENSG00000198356",0.0137894261313023,0.947097530301638,1.99709245977903,0.997901127061713
"15256","ENSG00000198363",0.350237584818994,0.975322513573003,1.47398613077733,0.559722949702384
"15257","ENSG00000198369",0.79890666964327,1,1.26567768037761,0.339910052376244
"15258","ENSG00000198373",0.106637057802563,0.947097530301638,1.45834850928768,0.544335529362208
"15259","ENSG00000198380",0.671125458389813,1,1.16387758178803,0.218939321618061
"15260","ENSG00000198382",0.79890666964327,1,1.15982266153063,0.213904232172791
"15261","ENSG00000198393",0.932324373348333,1,1.02112185686654,0.030155042324275
"15262","ENSG00000198399",0.444696231849709,0.990336329831089,1.13125019867129,0.177918045563405
"15263","ENSG00000198400",0.148836546876709,0.96428928564165,2.33123689727463,1.221095616718
"15264","ENSG00000198406",0.609758799224425,1,1.08118081180812,0.112607813068376
"15265","ENSG00000198408",0.202730170646522,0.969409484347219,0.733206304450784,-0.447708903989409
"15266","ENSG00000198416",0.55221422203415,0.990336329831089,0.809933142311366,-0.304125272367609
"15267","ENSG00000198417",0.0507985207388399,0.947097530301638,3.32519893899204,1.73344065631655
"15268","ENSG00000198420",1,1,0.877114148411658,-0.18916348638945
"15269","ENSG00000198429",0.0137894261313023,0.947097530301638,0.457658165422009,-1.12765767381754
"15270","ENSG00000198431",0.55221422203415,0.990336329831089,0.865432623851175,-0.208506588431724
"15271","ENSG00000198435",0.0507985207388399,0.947097530301638,1.99807840122982,0.99861319316353
"15272","ENSG00000198440",0.671125458389813,1,1.07492447129909,0.10423529357258
"15273","ENSG00000198453",0.55221422203415,0.990336329831089,1.3966663035189,0.481987368087804
"15274","ENSG00000198455",0.0745315710546194,0.947097530301638,1.82204309409394,0.865557081478265
"15275","ENSG00000198464",0.79890666964327,1,0.858969804618117,-0.219320677718468
"15276","ENSG00000198466",0.55221422203415,0.990336329831089,0.866977999927031,-0.205932710204809
"15277","ENSG00000198467",0.55221422203415,0.990336329831089,0.907730310956117,-0.139664362171467
"15278","ENSG00000198468",0.0745315710546194,0.947097530301638,1.31369150779896,0.393626529525609
"15279","ENSG00000198478",0.932324373348333,1,1.16294301724765,0.217780408291564
"15280","ENSG00000198482",1,1,0.941214680090939,-0.0874042724878878
"15281","ENSG00000198483",1,1,1.27377729651687,0.34911306307613
"15282","ENSG00000198492",0.350237584818994,0.975322513573003,0.859120710886278,-0.219067243195304
"15283","ENSG00000198496",0.79890666964327,1,1.10783847980998,0.147747555246738
"15284","ENSG00000198498",0.79890666964327,1,0.664814347057338,-0.588976578294855
"15285","ENSG00000198502",0.932324373348333,1,0.756210686828896,-0.403139857138375
"15286","ENSG00000198513",0.350237584818994,0.975322513573003,1.30558183538316,0.384692890282848
"15287","ENSG00000198515",0.932324373348333,1,1.04622871046229,0.0651982659077775
"15288","ENSG00000198517",0.106637057802563,0.947097530301638,1.98510537157344,0.989215589238116
"15289","ENSG00000198520",0.671125458389813,1,1.34354743665292,0.426047259509441
"15290","ENSG00000198521",0.350237584818994,0.975322513573003,0.733445661331087,-0.447238009741368
"15291","ENSG00000198522",0.79890666964327,1,1.10541626264025,0.144589742432092
"15292","ENSG00000198523",1,1,0.785714285714286,-0.347923303420307
"15293","ENSG00000198535",0.0337522229559557,0.947097530301638,3.18850574712644,1.67288048158751
"15294","ENSG00000198538",1,1,1.03835580573373,0.0543008860945252
"15295","ENSG00000198542",0.350237584818994,0.975322513573003,0.598039215686274,-0.741688004408609
"15296","ENSG00000198546",0.148836546876709,0.96428928564165,1.65381197796339,0.72579522369969
"15297","ENSG00000198547",0.609758799224425,1,1.12627986348123,0.171565359823568
"15298","ENSG00000198551",0.932324373348333,1,0.98549639749228,-0.0210774974182171
"15299","ENSG00000198553",0.55221422203415,0.990336329831089,1.13094539048738,0.177529268164917
"15300","ENSG00000198554",0.444696231849709,0.990336329831089,1.36915962366449,0.453290653202495
"15301","ENSG00000198556",0.269606104568209,0.975322513573003,0.78999201490551,-0.340090024020968
"15302","ENSG00000198561",0.932324373348333,1,1.30628139725067,0.385465713644025
"15303","ENSG00000198563",0.148836546876709,0.96428928564165,1.23752844389988,0.307461685112813
"15304","ENSG00000198569",0.932324373348333,1,0.720518867924528,-0.47289188474447
"15305","ENSG00000198570",0.394938073936705,0.990336329831089,1.86304128902316,0.897659647875301
"15306","ENSG00000198574",0.346843112646965,0.975322513573003,3.79766536964981,1.92511278836901
"15307","ENSG00000198576",0.79856176300482,1,0.912660798916723,-0.131849329582931
"15308","ENSG00000198580",0.729506525490593,1,0.532871972318339,-0.908139141805778
"15309","ENSG00000198585",0.671125458389813,1,1.17426608369769,0.231759354048743
"15310","ENSG00000198586",0.79890666964327,1,0.822543990649958,-0.281835256896122
"15311","ENSG00000198589",0.55221422203415,0.990336329831089,0.830048919898223,-0.268731729012411
"15312","ENSG00000198590",0.932324373348333,1,1.03554997908825,0.0503971845026367
"15313","ENSG00000198597",0.932324373348333,1,0.371580939274041,-1.42825159618106
"15314","ENSG00000198598",0.733646788822765,1,1.08840227088402,0.122211871797344
"15315","ENSG00000198604",0.671125458389813,1,0.969035602237075,-0.045378423852451
"15316","ENSG00000198610",1,1,0.421052631578947,-1.24792751344359
"15317","ENSG00000198612",0.932324373348333,1,0.828576975344593,-0.271292363898865
"15318","ENSG00000198618",0.350237584818994,0.975322513573003,1.03114186851211,0.0442428379614828
"15319","ENSG00000198624",0.79890666964327,1,0.864680598784645,-0.209760775600795
"15320","ENSG00000198625",0.0218560090983137,0.947097530301638,0.739943423780394,-0.434513128675239
"15321","ENSG00000198626",0.671125458389813,1,0.846823324630113,-0.239867087865002
"15322","ENSG00000198633",0.932206033775879,1,1.04700854700855,0.0662732194191661
"15323","ENSG00000198642",0.932324373348333,1,1.17975123712719,0.238482684334537
"15324","ENSG00000198643",0.443898465801459,0.990336329831089,0.797297297297297,-0.326810316267109
"15325","ENSG00000198646",0.671125458389813,1,0.937930292598967,-0.092447389906588
"15326","ENSG00000198648",0.671125458389813,1,0.968433118772595,-0.046275676979704
"15327","ENSG00000198650",0.79821507589344,1,1.26732673267327,0.341788517248205
"15328","ENSG00000198658",0.79890666964327,1,1.26281352235551,0.336641614394182
"15329","ENSG00000198663",0.444696231849709,0.990336329831089,1.21194302514772,0.277321877631896
"15330","ENSG00000198668",0.269606104568209,0.975322513573003,1.31003374540028,0.389603974888374
"15331","ENSG00000198670",0.686075935168286,1,0.36996336996337,-1.43454565816806
"15332","ENSG00000198673",0.444696231849709,0.990336329831089,1.59387351778656,0.672537148461333
"15333","ENSG00000198677",0.55221422203415,0.990336329831089,0.787219171243135,-0.345162739656584
"15334","ENSG00000198680",0.269606104568209,0.975322513573003,2.33076263924593,1.22080209043035
"15335","ENSG00000198682",0.268767552984235,0.975322513573003,1.19283865401208,0.254398914115598
"15336","ENSG00000198689",0.202730170646522,0.969409484347219,1.49311544863066,0.578325719878084
"15337","ENSG00000198690",0.350237584818994,0.975322513573003,0.627757705427608,-0.671720262885652
"15338","ENSG00000198691",0.668938973141315,1,3.23699421965318,1.69465478930824
"15339","ENSG00000198692",1,1,0.896709585121602,-0.157287275790219
"15340","ENSG00000198700",1,1,0.994501774613791,-0.00795414944500361
"15341","ENSG00000198707",0.350237584818994,0.975322513573003,0.698687539531942,-0.517280683565148
"15342","ENSG00000198711",0.269606104568209,0.975322513573003,0.770211967735884,-0.376672554641232
"15343","ENSG00000198715",0.671125458389813,1,1.09035455585208,0.124797339400768
"15344","ENSG00000198718",0.350237584818994,0.975322513573003,1.48400279614992,0.569493810279348
"15345","ENSG00000198719",0.148836546876709,0.96428928564165,1.67941601399133,0.747959649559989
"15346","ENSG00000198720",0.932324373348333,1,1.17756883814641,0.235811399158307
"15347","ENSG00000198721",0.443898465801459,0.990336329831089,1.80558385979213,0.852465427374153
"15348","ENSG00000198722",0.106637057802563,0.947097530301638,2.15167171447236,1.10545797936702
"15349","ENSG00000198723",1,1,1.04492820750347,0.0634038243762883
"15350","ENSG00000198728",0.148836546876709,0.96428928564165,0.727359410553689,-0.459259674767135
"15351","ENSG00000198729",0.55221422203415,0.990336329831089,1.55463917525773,0.636579776194174
"15352","ENSG00000198730",0.79890666964327,1,1.07354934088949,0.102388499739521
"15353","ENSG00000198732",0.0218560090983137,0.947097530301638,5.99720776748318,2.58429095444875
"15354","ENSG00000198734",0.269606104568209,0.975322513573003,1.30364372469636,0.382549646529939
"15355","ENSG00000198736",0.0218560090983137,0.947097530301638,2.37244561634806,1.24637501667769
"15356","ENSG00000198739",0.496151813220973,0.990336329831089,1.94321766561514,0.958447510555494
"15357","ENSG00000198740",0.671125458389813,1,0.88578724392084,-0.174967873533014
"15358","ENSG00000198742",0.932324373348333,1,1.08662170056827,0.119849764002617
"15359","ENSG00000198743",0.55221422203415,0.990336329831089,1.53882784682933,0.621831842180931
"15360","ENSG00000198746",0.350237584818994,0.975322513573003,1.41147054227223,0.497199019711273
"15361","ENSG00000198752",0.202730170646522,0.969409484347219,1.32113442669913,0.401777269662139
"15362","ENSG00000198753",0.350237584818994,0.975322513573003,2.47807933194155,1.30922237390573
"15363","ENSG00000198754",0.350237584818994,0.975322513573003,1.68921634293369,0.756354110193679
"15364","ENSG00000198755",0.350237584818994,0.975322513573003,0.826675286131966,-0.274607337534393
"15365","ENSG00000198756",0.55221422203415,0.990336329831089,0.485074626865672,-1.04372137742932
"15366","ENSG00000198759",0.202730170646522,0.969409484347219,1.71476063829787,0.778007206111577
"15367","ENSG00000198768",0.148125677101043,0.96428928564165,0.677351916376307,-0.562022517957269
"15368","ENSG00000198771",1,1,0.711354309165527,-0.491359782923983
"15369","ENSG00000198774",0.443898465801459,0.990336329831089,0.710500490677134,-0.493092449082608
"15370","ENSG00000198780",0.55221422203415,0.990336329831089,1.24985607369027,0.321761971904752
"15371","ENSG00000198783",0.444696231849709,0.990336329831089,1.18231841526045,0.241618626254336
"15372","ENSG00000198785",0.202730170646522,0.969409484347219,0.647058823529412,-0.628031222613042
"15373","ENSG00000198791",0.671125458389813,1,1.50556438791733,0.590304408589096
"15374","ENSG00000198792",0.202730170646522,0.969409484347219,1.51131928181108,0.595808476932948
"15375","ENSG00000198793",0.55221422203415,0.990336329831089,1.17348859504519,0.230803820598445
"15376","ENSG00000198794",0.148836546876709,0.96428928564165,1.92304385210662,0.94339166153138
"15377","ENSG00000198795",0.671125458389813,1,0.541552867733125,-0.884825910713317
"15378","ENSG00000198796",0.444696231849709,0.990336329831089,1.80078636959371,0.84862704198357
"15379","ENSG00000198797",0.0334416277616561,0.947097530301638,5.61614623000762,2.48958050020093
"15380","ENSG00000198799",0.202730170646522,0.969409484347219,0.834505391467417,-0.261006724486811
"15381","ENSG00000198805",0.0745315710546194,0.947097530301638,2.54873251748252,1.34977997439968
"15382","ENSG00000198807",0.79890666964327,1,0.138412865805431,-2.85295004374075
"15383","ENSG00000198814",0.79890666964327,1,1.16926032660903,0.225596170327816
"15384","ENSG00000198815",0.932324373348333,1,1.04011574992416,0.0567440885099472
"15385","ENSG00000198816",0.79890666964327,1,1.8298718773767,0.871742638485184
"15386","ENSG00000198818",0.79890666964327,1,0.883595988538682,-0.178541225909529
"15387","ENSG00000198821",0.444696231849709,0.990336329831089,1.53203125,0.615445725304787
"15388","ENSG00000198822",0.671125458389813,1,0.886389201349831,-0.173987789373394
"15389","ENSG00000198824",0.671125458389813,1,0.979951884522855,-0.0292171800109405
"15390","ENSG00000198825",1,1,1.13268254588052,0.179743577259327
