"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Cds2","Cds2",0.0659484534462633,3.08825937233167,0.650353386278955,0.522224271230558,0.577048963651021,-7.3333254173363,"No change"
"Acaca","Acaca",-0.0814585155014975,2.86846376473625,-0.635857360115099,0.531454291031985,0.585590882639523,-7.34286635416503,"No change"
"Pafah1b3","Pafah1b3",-0.117917050474729,-0.185422428555224,-0.60605726238882,0.550703239428659,0.604169573353771,-7.3618282822808,"No change"
"Abhd6","Abhd6",0.0686507868791564,3.76487821198457,0.604155742118353,0.551943856806355,0.605188370171377,-7.36300838480318,"No change"
"Vapb","Vapb",-0.0537241866650016,2.95097459503428,-0.569758204928341,0.574636485647286,0.626528717231735,-7.38373545881032,"No change"
"Inpp5a","Inpp5a",0.0318470630130676,1.58374648393514,0.494484208589066,0.625884903770868,0.674007623518609,-7.42496803713049,"No change"
"Stoml1","Stoml1",0.0893148514452755,0.113762845944872,0.489395253675356,0.629424618695311,0.677380780119715,-7.42755006332208,"No change"
"Pigv","Pigv",-0.0650772380966528,0.272283561754568,-0.47041005243172,0.642710123360021,0.689237822339911,-7.43695198990308,"No change"
"Ptpmt1","Ptpmt1",0.0328892078312943,4.41194759199107,0.449818637704464,0.657258996694757,0.702657983147816,-7.44673710844801,"No change"
"Daglb","Daglb",0.0428442871029617,1.80598680289069,0.398512489185455,0.694108630572215,0.73697594884419,-7.46924497209024,"No change"
"Asah2","Asah2",-0.0405984412674105,1.67536824617502,-0.391319042498716,0.699340269916598,0.741786330225033,-7.47218638495667,"No change"
"Rft1","Rft1",-0.0337367636313082,1.46991091134205,-0.390712794062607,0.6997818843452,0.742187110615435,-7.47243186731469,"No change"
"Pigu","Pigu",-0.0276433954771334,0.499226834126017,-0.379447162196888,0.708007815569703,0.749245717478078,-7.47692523555613,"No change"
"Ptges3","Ptges3",-0.0302439134034671,5.63290847045614,-0.350410314485808,0.729376473069349,0.768532751227064,-7.48790815885386,"No change"
