"","GeneID","Cluster"
"756","ENSG00000225217","cluster1"
"757","ENSG00000110876","cluster1"
"758","ENSG00000160593","cluster1"
"759","ENSG00000115165","cluster1"
"760","ENSG00000077420","cluster1"
"761","ENSG00000204767","cluster1"
"762","ENSG00000162894","cluster1"
"763","ENSG00000153563","cluster1"
"764","ENSG00000180644","cluster1"
"765","ENSG00000271503","cluster1"
"766","ENSG00000198286","cluster1"
"767","ENSG00000066336","cluster1"
"768","ENSG00000000938","cluster1"
"769","ENSG00000068831","cluster1"
"770","ENSG00000168421","cluster1"
"771","ENSG00000104972","cluster1"
"772","ENSG00000211772","cluster1"
"773","ENSG00000277734","cluster1"
"774","ENSG00000113263","cluster1"
